iter	Passed	Remaining
0	61	61409
1	63	31480
2	64	21497
3	66	16479
4	67	13458
5	69	11442
6	70	10008
7	72	8929
8	73	8093
9	75	7430
10	76	6883
11	78	6456
12	80	6082
13	82	5784
14	84	5516
15	86	5307
16	87	5076
17	89	4873
18	91	4700
19	93	4561
20	94	4416
21	96	4286
22	98	4164
23	99	4043
24	100	3929
25	102	3836
26	103	3747
27	105	3659
28	106	3571
29	108	3492
30	109	3429
31	111	3359
32	112	3301
33	114	3243
34	115	3188
35	121	3252
36	123	3221
37	125	3178
38	127	3130
39	128	3087
40	130	3059
41	132	3023
42	133	2976
43	135	2941
44	136	2904
45	138	2867
46	139	2835
47	141	2803
48	142	2771
49	144	2738
50	145	2713
51	148	2698
52	149	2672
53	150	2643
54	152	2618
55	153	2592
56	155	2567
57	156	2549
58	158	2529
59	159	2504
60	161	2483
61	162	2461
62	164	2442
63	165	2424
64	167	2410
65	169	2395
66	171	2382
67	173	2372
68	174	2355
69	175	2336
70	177	2321
71	179	2309
72	180	2292
73	182	2286
74	184	2275
75	186	2263
76	187	2253
77	189	2241
78	191	2227
79	192	2216
80	194	2206
81	196	2195
82	197	2183
83	200	2183
84	201	2168
85	202	2155
86	204	2143
87	205	2133
88	207	2122
89	209	2116
90	211	2110
91	213	2105
92	215	2097
93	216	2089
94	218	2083
95	220	2073
96	221	2063
97	223	2054
98	224	2045
99	226	2039
100	227	2026
101	229	2018
102	230	2011
103	232	2006
104	234	1999
105	235	1989
106	237	1980
107	238	1970
108	239	1959
109	240	1949
110	242	1939
111	243	1928
112	244	1920
113	246	1912
114	247	1902
115	248	1892
116	249	1884
117	251	1880
118	253	1874
119	254	1867
120	256	1860
121	258	1857
122	259	1851
123	261	1844
124	262	1840
125	264	1835
126	266	1830
127	267	1825
128	269	1819
129	271	1815
130	272	1809
131	274	1804
132	276	1799
133	277	1794
134	279	1789
135	281	1786
136	282	1779
137	284	1774
138	286	1772
139	288	1769
140	289	1764
141	291	1760
142	292	1755
143	294	1751
144	296	1746
145	297	1741
146	299	1737
147	301	1733
148	302	1728
149	304	1723
150	305	1719
151	307	1714
152	308	1709
153	310	1706
154	312	1703
155	314	1699
156	316	1697
157	317	1693
158	319	1687
159	320	1682
160	322	1679
